"stockcode","description","Total_Quantity_Sold"
"84077","WORLD WAR 2 GLIDERS ASSTD DESIGNS","106139"
"85123A","WHITE HANGING HEART T-LIGHT HOLDER","94142"
"23843","PAPER CRAFT , LITTLE BIRDIE","80995"
"84879","ASSORTED COLOUR BIRD ORNAMENT","80082"
"23166","MEDIUM CERAMIC TOP STORAGE JAR","78033"
"85099B","JUMBO BAG RED RETROSPOT","77280"
"17003","BROCADE RING PURSE","70369"
"21977","PACK OF 60 PINK PAISLEY CAKE CASES","56061"
"84991","60 TEATIME FAIRY CAKE CASES","54028"
"22197","SMALL POPCORN HOLDER","48561"
